weibo_text,豆包评分,opposite_sex_social_avoidance,相似性
今天吃饭旁边坐了一对男女是那种还没有在一起貌似刚认识还处于暧昧期并且还是第一次见面的那种女生点了个蔬菜沙拉?男生点了个鸡排饭?都是好小一碗并且说话什么的都好尴尬但是我和小耗子桌子上有六个菜一碗米两杯饮料边聊边吃都吃完了妈的吃饭不能点一堆自己想吃的对面还不是自己的饭搭子说话还有一句没一句想着我就难受我觉得我这辈子不会和男生吃饭了怕尴尬的不知道怎么张嘴麻痹的厌男(理想型的大帅哥除外),2,1,
一边说自己“厌男”，一边做擦边主播，是什么意思,2,1,
突然发现，我这个死样子，要不是从学校里带了个男人出来大概率会孤独终老条件好的：条件这么好还单到现在肯定有问题条件不好的：条件不好我找了干嘛而且网上冲浪多了多少有点厌男，我对陌生的男人有一股天然且猛烈的敌意，并且我十分讨厌相亲，朋友介绍的都不行。我爸妈真应该庆幸我和wjk结了婚,2,1,
又看到“生而为异性恋我很抱歉”这种话真的很无语，你他妈厌男你就别谈，有什么好抱歉的，又不是不得不做的事情，在垃圾堆里捡不到宝可把你给委屈死了,2,1,
刚开始自己去医院看医生的时候就好想有人陪着啊可那时候没有，后来就慢慢习惯了，再到后来有时候时间充裕我会“逛一逛”医院的其他楼层，看一看，听一听。要是突然有人说陪你看医生，不了不了不了离我远点我们不熟我八百倍速逃跑人就是这样的，自己好不容易熬过一关又一关达到了一种平衡，别人突然来一脚显示自己的关怀备至或是什么，没必要，不需要，也不要。就很反感，感觉什么都是假的，当然如果是美女就另当别论了（我完了我厌男情绪越来越严重了这不知道咋整,2,1,
感觉自己要厌男了?现在想起来真的很恶心真的特别恶心,2,1.5,
阿西。。。真的烦死了。。。10勤最烦的就是37了，最近因为26被迫看了太多37了，恐男症都犯了啊啊啊啊啊,2,1,
最近真的厌男有异性和我聊天约我吃饭我都是骂骂咧咧最后爽约的看见男的就很烦厌男,2,2.5,
我觉得我身边每一对情侣好朋友都特别好，特别甜，永远祝福他们，在我眼里都在冒粉色泡泡，不管咋样我都觉得可真幸福反观我自己恐恋爱恐婚恐孕恐男以前还没有这么严重，但我真的越来越恐所有男性咱们当哥们就成害不都是姐妹,2,1.5,
很神奇呗！我跟我姐完全没有血缘关系（因为离异但是第一次见面也能聊很好呗，大家都很轻松没负担喜欢跟女孩子贴贴～相反聊类似话题跟学校里的学长就很…也不知道怎么说，总感觉有说教的感觉（可能是他个例也可能是我恐男啊啊内向人讨厌聊天只喜欢讲笑话捏,2,1,
我真的厌男了，路上看到陌生男人，我就会非常厌恶他，就觉得：恶心男人。,2,3.5,
厌男情绪在此刻达到巅峰真的好讨厌没有边界感的人！！！,2,2.5,
每次在公交车上有男性靠近我我就发现我是真恐男,2,2,
三次元的男人太恐怖了，幸好当事人不是我不然我直接恐男，虽然已经恐男了，9命哇打西呀吧里好好喜欢二次元纸片人吧??,2,1.5,
#南非#评论区的有些男的是不是以为他们自己离了x欲就活不了别人就也是这样啊……渴女又厌女。爽一把s了和好好活着如果必须选一个他们一定会选择前者。他们完全没有随着人类进化而变得有一丝丝文明，野蛮粗鲁暴力。今日份恐男恐婚恐育达成,2,2,
动不动说厌女，我才被这些普信男搞的恐男是真的,2,1,
其实不是恐男，是恐低素质油腻男恶心得我想呕,3,1,
自己来吃饭隔壁桌全是男的还好几桌想逃恐男实锤了,2,2,
不是你一边说你恐男一边说你看上哪个男生这么撩想谈恋爱有意思吗,2,1,
我现在比猫头鹰都清醒只是不想恋爱的厌男的小女孩罢了,2,1.5,
此时此刻恐男的心理达到了顶峰梦里的我都要疯了终于和现实世界的受害人感同身受了我满心欢喜的去找我爱的人玩，有一个男性大半夜跑进了我的宿舍，找到了我的床位，在我的床上睡了一晚上，走的时候还大胆的翻了我的东西，顺走了我的东西，并在监控面前猖狂的做鬼脸。我的舍友告诉我：有一个陌生男人在我的床上过了一夜。此时此刻我的恐惧值达到了顶峰，梦里我在一直请他向我道歉，我一直在找能够让他向我道歉的办法，我去查监控，但是宿管阿姨和我的朋友都像不当一回事一样，说：有什么好查的吗。我找到他，我问他是怎么进到女生宿舍里的，看不出来是女生宿舍吗？他毫不在意的边笑边摆鬼脸说：你就当我晚上吃的火锅把我辣傻了吧。我不明白，这跟我有什么关系，为什么是我。我努力找到我宿舍里有价值的东西，尽量让这起类似于猥亵的案件变成入室抢劫。我的朋友都很开心的享受大学生活，我还在为了让那个男人判刑四处奔走，..他还是cc的朋友。然后突然，cc一个回旋踢把我踢醒了，一时间不着是该感谢她还是怎么，把我从噩梦中救了出来，我更希望cc在梦里也救救我。cc说和妈妈打电话了，我很懵，凌晨四点怎么会打电话，她含糊不清的嘟囔了几句，我知道了，她做噩梦了，好可怜的cc，我在你身边呢，一直都在。不知道cc一个人住的时候做了恶梦会怎么办。,5,3.5,
我真的要得厌男症了厌男情绪越来越严重怎么办想撩你这么尴尬无语的话是怎么说出来的我回复一个好的你开始撩吧？,2,1,
sos因为最近社交活动变多导致我的尴尬症和厌男症最近每天都在发作啊啊啊啊啊啊啊啊啊果然还是宅家适合我??????,2,2.5,
总是时不时的厌男恐男，，，又时不时想和男的聊天谈恋爱。。服了,3,1,
没法不群体性厌男。在男的成为一个具象的人类之前没法给予很多的尊重，先翻个白眼不过分。,2,2.5,
我现在处于一种很郁闷的状态不知道是不是姨妈作祟我真的很想谈恋爱但我只想和毛毛鞋谈但是毛毛鞋并不可能和我而我又喜欢不上别人她太特别独一无二真的遇不到第二个像她的她的身高长相性格真的不可能遇到第二个就怕这辈子只喜欢她一个了那我真的一辈子都单了我好想和她说这些我想知道她的想法虽然应该就是拒绝但我总是侥幸因为她说了句她恐男那我是不是有一点点希望这次见面我能感受到很明显的距离感碰到一下就躲开了那种以前天天抱着的关系现在碰一下都碰不了谁能解救我一下,1,1,
为什么游泳馆不能分性别游！！！！每次来游泳我的厌男就会达到顶峰,2,3,
靠北，我好像有那个恐男症……别人恋爱，我：恭喜恭喜，我好羡慕！有人说喜欢我，我：蛙趣，泥奏凯不分对方条件，抗拒到死我这辈子跟恋爱结婚还有缘分么,2,2,
我总是会被男的讲的一些话震惊到。有在恐男?,2,1.5,
今日又略微陷入厌男情绪中，导致连星也不想追。就我这种比事特别多还长得不咋滴的女的，不孤独终老都说不过去。,2,1.5,
非得用气泡音吗？吓得我暂停做题就为了重听这个。。。没想到专八听力真题也能让我产生厌男情绪。。。Lpink1号的微博视频,2,2,
昨天一个接触时间不到一周的男的问我哪天回国提出跟我一起回国。我说你要考虑两点，一是宿舍到期后要有地住一周，二是机票充裕但你自己的酒店要提前订好，然后人就不吭声了，不知道是不是活在梦里。还有一个男的在我两次午餐没去之后来质问我-都是为了你你却不领情，一气之下还把我移出了群聊。Fine还是你们有脾气每日厌男情绪up,2,3,
p1朋友圈不给看图p2凌晨5点入住民宿的门口p3谁能想到光鲜亮丽的周理裙子下面是条玉桂狗睡裤呢p4终究还是有两个菜鸡p5奋战通宵第二天大家脑壳整个都是晕的p6下午4点大家陆陆续续清醒p7大合照缺猴p8市委书记都没俞总回家有排面p9这个锦旗文案毫无疑问出自损色-周理俞总金句/俞:你怎么闯红灯啊我:这不是没人了吗难道福建不闯红灯？俞:是中国人不闯红灯我:到时候我想开发一个滴滴摩的小程序你们愿意帮助我吗俞:怎么？是想让我们做你的骑手吗？大家都在吐槽现在的恋爱不懂网恋不接受相亲恐男等等俞:所以你们明白群里为什么单身这么多年了吗？下次见/俺的好朋友们,1,1.5,
食堂兼职有个长发帅哥我决定这几天都去吃那家！！！！帅哥治愈我恐男妈的,1,1,
妈咪出现在我不那么厌男的最后一年…然后妈咪就是女的了真好真好,1,1,
挺恐男的本来一个人面试就有点害怕这下更害怕了,2,1.5,
我永远会对互联网怀揣着不解吧什么年代了有些人还是说话不不过脑子吗真的会恐男,2,1,
??：给你介绍男朋友吧……我：??不了不了我恐男,2,1.5,
我疯了呀，中年男人太可怕了，上车拖鞋把脚搭到我这边，一直声音很大的打电话，好像公务很忙的样子，还要打电话和别人讲道理，我真的，我差点觉得他要是不打这个电话，地球就不转了，内心真的一万头草泥马，烦都烦死了，啊啊啊啊啊啊啊啊啊。我有点怀疑别是男人老了都是这样吧，那我祝福自己单身一辈子，我和他再多坐几个小时的车，我就要恐男了。这辈子没有对一个陌生人这么无语过。,2,3,
#那种一直不谈恋爱的最会玩#整天上网冲个浪还要被骂爷恐男还不行么,2,1.5,
2023快乐呀！2023开心往前飞！今年除了发了红包，也收到了2023的第一个红包！真好！也许因为不知道为什么的莫名恐男，我总和我身边的男性朋友现实中不知道怎样说话，但是被人惦记的感觉真的很好！无关风月，我希望你们，我们，一直一直好下去！,2,1,
跟室友周末两天看孩子特种兵训练，两个人两天看两个小孩，怎么说呢，也过来了。去了码头买海鲜，串门，去买了点我吃的零食，就是我的脑袋有点大，听了两天我鹅子的哭腔抱抱，有点烦，导致我最近厌男，男的都离我远点,2,2,
有人厌男有人厌女我好像讨厌所有人类有人的地方我就烦人多的地方我就发脾气我应该离开地球说实在的这个性格像是从小就有的没发生什么事但也不知道是为什么会出现看自己八字午午自刑命带华盖好了性格急躁又孤僻可能真是命里带的,2,1.5,
#唐山称打人事件给这座英雄的城市抹了黑#我已经恐男了谢谢,2,2,
啊啊啊啊啊我恐男行了吧行了吧行了吧我再也不和男生讲话了…我真的我头晕脑胀…呜呜呜呜呜呜呜呜呜呜,2,4,
*饭后在闲聊姥姥:女铜不好我:可是我恐男妈妈:赵路我:（沉思）（目移,2,1,
久久回一次深圳第一想法竟是逃离，再待在这我真要恐男了。,2,1.5,
在这上班再一次让我见识到了男的多样性现在听见男的说话就想吐看见男的就烦特别厌男,2,3.5,
周围唯二正常的，我还觉得很可爱很喜欢的两个男生，胖超和糖糖。别的男生怎么都那么讨厌啊。厌男了。,2,1,
恐男情绪也是早就上升到连男老师的网课都不听的境界了,2,2.5,
有时候会想高中是谈不成恋爱了有点点遗憾转念一想算了还好没谈男的一个样恐男了然后又想为什么我喜欢男的?????,2,2.5,
男人莫名其妙的自信可以分其他人一点吗？可怜的小姐姐又要恐男了。,2,1,
我真的好讨厌没用的男人但是我身边全是没用的男人恐男了,2,2,
认识他之前：我恐男。认识他之后：是别的男人都不行！,5,1,
今日大恐男烦死了出尔反尔烦这烦那的怎么不回家让你妈养你啊,2,2,
七七的废话星球超话我现在可算是理解我的好多朋友为什么恐男了，男的鬼话我一直不怎么爱相信，当随便听听，但是也别可恶到这种地步，拿别人的感情当笑话就绝了，哈哈哈哈哈哈这一年真好笑,2,1.5,
浩和霖的发言从不需要担心过，发自内心的真诚不需要通过一些形式就能感受到，他们的存在告诉我原来世界上还有这样好的少年存在，但我再抬头一看身边男的和网络上自我标榜“阳刚气”“男子汉”的所谓直男，“恐男”情绪达到顶峰，感想是什么呢，浩翔峻霖真好，我还是离男人远一点吧^_^,2,1,
恐男了真的恐男了怎么办现在看见除了我爸以外的男人都想绕道行走了怎么办,2,2.5,
看完了恐男恐婚程度+100000000%该说不说这三个姐姐是美的各有千秋啊,1,1.5,
唉小哥哥你们别这样我恐男症非要从十六岁男的就开始恐吗,2,1.5,
感觉互联网很多言论都好没意思。不是爱女就是厌女，不是爱男就是厌男，不是辱女就是辱男。对此我只想说，无论男女，只有老实人受伤害的世界达成了,1,1,
不知道若干年后的我会不会觉得自己可笑，因为十六岁的一场暗恋、身边人的早恋失败和新闻中的可怕男性而厌男，很可笑吧，不过很可怕啊。尽管父母的感情稳定偶有甜蜜，不过我怎么会遇见那样好的男性呢，不如说现在的社会上能有几个真正意义上的好男人呢。,2,1,
恐男真的不开玩笑但是还没办法改变自己的性取向就好像总会被帅的男生所吸引到但还是觉得世界上没几个男的是正常的,2,1.5,
之前在学校是真的很想谈恋爱，但是放假了就开始恐男了,2,1,
呕会有男的这么普通又那么自信每天一个恐男小技巧吐了,2,1,
我真的很厌男，谁帮男的说话，我也会直接厌谁,2,2,
恐异真的是一种病症吧我真的已经到看到现实异性恋就会感到生理性不适了哎感觉跟厌男也有点关系，女同学搞过亿我觉得挺好很喜欢跟她一起讨论二次元，但她开始谈恋爱我又忍不住远离远离远离……痛苦,4,4,
第二则大男子主义真是服平时最讨厌别人说我以后是贤妻良母那都不是我为自己活我就不能为自己吗我喜欢做饭因为我爱吃上次冰珂来我家给我做吃的我就好感动不是因为你会就必须你做，而是互相珍惜我乐意和认为我应该那是两码事真的是最近厌男今天聊天的朋友很好可优秀的人我得不到,2,1.5,
此时此刻厌男情绪达到顶峰，真想把你脑袋拧下来,2,1.5,
哇塞。。。。。我果然是易泪体质的晚期绝症为什么老刷到那些求婚的，真的好幸福好浪漫啊啊啊！！怎么这么会啊！！我每次都会为这些女孩子的幸福而幸福为什么我已经预设好我的未来了，我真的觉得我和男性这个群体无缘无分哈哈，我有点点恐男，不是觉得他们不好，是经常没有欲望去认识男生，也不太懂他们，感觉怕怕的紧张死了吧就是我朋友们老说我不要老这样怕男生，但事实就是一和男生讲话就特不自在特别嗲特别高冷有时候，和女孩子在一起可骚了，又羊癫疯又霸总文学的玩的可六了为啥一碰到男生就。。。。像木头别人问啥答啥。。然后。。对话结束可能。。。。姐。。。只对有感觉的男生搞一些有趣的一面吧呵呵哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈反正十七年solo人生我觉得有希望一直到六十岁退休看别人谈恋爱也很幸福啊真的。。。。。,3,1,
虽然还在发烧但是忍着不睡把《她厌男，她是我女友》看完了，真的很有趣的书该睡觉了,1,1,
灰常无语啊碰到普信男了！…问同事要我微信也是不想同事为难就加了就打了个招呼突然来了句你好物质啊………………我的天哪哪来的优越感呢！不好意思我怕了我怕了现在宣布我恐男啊,3,3,
我是什么很贱的人吗一边厌男觉得男人好恐怖，一边羡慕别人谈恋爱啊啊啊啊啊啊人格分裂,2,1,
我真的谢。。。这都几百年前的事了完全弯了之后就厌男了但是以前又的确和男的在一起过所以连带着过去的自己都很讨厌?也不熟能不有点b数少tm来膈应我我真的会谢。。,2,2.5,
我真的好恶心szj，又一次符合我对男人的刻板印象，当初和shq要死要活离婚八成就是因为不生孩子吧，我真的吐了，好恶心他，贱男人。我真的很讨厌男的，特别特别厌男，因为我没见过正常男的。,2,2.5,
我是不是实质恐男但是我只想聊天我是口嗨girl,1,1,
我说那些和我说能理解你恐男的男的真特别好笑怎么你在小学刚发育时被提着空行李箱的男的定点儿跟踪过一个月吗,2,2,
不行了这是人的耳朵能承受的声响吗我旁边的男的也太嗨了我恐男症要犯了,2,3,
男的怎么都这么恶心人哎哟最近真的见识到物种多样性了，各种sb都一窝蜂涌出来了吗老子真的恐男了,2,2.5,
我擦我现生真的恐男在路上直接过来要微信的吓得我跳出两米远并来句：我有男朋友了走过后同事问我哪来的男朋友我：全圆佑啊,3,4,
刚刚又去回顾了下飞针的那条朋友圈，然后突然发现给我点赞的都是女生，这样想来我好像很久很久都没有男性朋友了，好像知道了我越来越恐男的原因了???,2,1,
他妈我感觉我现在真的厌男对男人的认识只能停留在表面稍微深入一点就开始嫌弃了。。,2,2,
如果世界上的男的都这么恶心，我真的是要厌男了！一辈子我也不想结婚,2,2,
别人：弟弟好帅我是弟控我：尼玛的sb弟弟我真的会厌男,2,1.5,
今天中午还发生了一件我真的觉得是我人生最尴尬的一件事情啊啊啊啊现在想想还好当时想想我真的尴尬的想找个洞钻进去...我要恐男了...我再也不敢和男生讲话了尼玛啊我真的…TTTTT,2,2,
没到30呢就被催婚了，很难理解我爸妈这代人的思想更厌男了妈的,2,1.5,
今天的微博看得我恐男厌男了，一些返祖现象令人作呕,2,2,
吃了点霓虹♂声优的瓜，感觉有些人是真无脑捧啊，在我没有特意搜索的前提下完全没有听说过这些东西。一天天避雷这避雷那，结果这么大瓜也没见你们避雷的，现在就是恶心且厌男,2,1.5,
在家待一个月了比厌倦我妈更快的是烦我爸真的厌男时不时带有警告信性地要是他这样他妈早就怎样怎样咋滴啦爱比烂？还说大声叫我赶紧准备考试考事业单位神经病我就是不爱读书不爱考试想直接去上班而不是考试去上班or上班还要考试好吗神经病,2,2,
鹭卓，乱扔东西的毛病改一改吧。真的很恐男的摔东西。本来摔手机的时候就恐了，现在又是摔零件又是摔牌子，真的很难受了。,2,2,
#汤家凤#可以呼吁理智追星，但是请不要用侮辱的词汇，而且你也没有尊重他人，别人追星和你没有关系，随意批判人引得一帮厌男也厌女的并且也是不会尊重人的东西带着阴阳嘲讽的话语到处喷，在高数上您是有成就的，在做人上呢，害当然了也理解嘛毕竟男人嘛就是喜欢教人做事，遇到看不惯的就开始爹味思想，不管是有一定成就还是没一定成就的到了年龄都差不多嘛，闲的哈。,2,1,
okay我看第二季第二集这老师那么恐男果然是深柜哈，感觉自己姬达灵灵哒,2,1,
高中的男的怎么都这么恶心??他们说话之前不知道过过脑子吗??真的恐男了??,2,3.5,
亲身经历真的不要为一个人规划前途因为你不会知道这个人到底值不值得我哥他们高中那个班里有一对情侣报大学的时候两个人报了同一所男的高考有点失利和女的一起上了武汉大学我哥他们都以为这一对能一直在一起结果在疫情期间新生报道交往了这么多年在短短一个月内男的找了个学妹其实我觉得这个男的早就想分手了本来打算高中毕业再分结果考上同一个大学没理由分了就这样将就了一年然后早就找好下家挺无语的每天一个恐男小技巧,2,3,
时团小猪们有点治愈了我的厌男症，因为一群可爱小动物是没有性别(??3(???c),1,1,
还有自从分了后我有了严重的厌男除了svt哈哈哈哈哈哈哈哈哈哈哈哈哈,2,1,
今天看到一个所谓的瓜以前看瓜都是抱着吃瓜心态今天看到那个瓜真的…看完心里特别特别难受就是觉得为什么人可以如此坏怎么会有这么贱的人渣啊在结合我自己的身边事一下子对那些同族的男的都很反胃见识短没三观行为极其恶劣全部都蛐si！！！第一次如此的厌男真的太恶心太恶心恶心的我打yue…??,2,3.5,
怎么回事儿啊，网络上好喜欢帅哥，现实中有点恐男。,3,1,
恐男，别他妈给我发信息别再抖音艾特我了我不想又想,2,3,
班主任极奇厌男语文老师却爱男。。说“我打男人生人家一下子就没事了我打一下女生你们记我一辈子你们有男生那种胸襟吗。”。。如何评价,2,1,
#赵丽颖谈30岁一定要结婚#嗯姐姐啊现在都恐男,2,1,
关于一个勤劳的周末晚上不辞辛劳千里跋涉的探店永远喜欢西北菜关于我最近的厌男症没有什么比事业更美好,2,1,
好恶心在外别人说啥都信被别人当傻子叫花子耍，对内打肿脸也要咬牙充胖子别人给的啥都好自己家的就是破烂的极度大男子主义的男的真是越长大越厌男越恐婚,2,3,
#男子因吵架拿啤酒瓶刺死女友#恐男的一部分原因来自男罪犯另外一部分来自帮男罪犯开脱的男人。所以别再催婚催孕了，女孩子活着比什么都重要??,2,2.5,
现在因为我爸，我已经完全厌男了，以后装修房子都想用蹲便了,2,1.5,
要出趟远门。一个男性朋友说，“你有可能遇到不错的异性。”我说大概率我不会，我现在有点厌男。他说最近男性表现得是不太好。我说，“最近吗？”他：“最近这两年”我：“最近五千年。”,2,1.5,
真的很好笑，很多年前的朋友来问一直没谈恋爱是不是心里还放不下陈老师，我现在只是单纯厌男啊觉得所有对我有朋友以外感情的男的都好恶心,2,3,
发现自己有点“厌男症”了当然不是所有的哈只是针对那些猥猥琐琐油油腻腻的,1,1,
我不想谈恋爱了我好累我想一个人我要开始厌男了我讨厌男人后大悔感觉毫无意义感受不到情绪价值啊啊啊啊啊,2,2.5,
我恐男了男人都去死吧男人不适合当医生（暴言）,2,1,
姐妹们，你们可以恐男厌男骂男，但是你们千万别跟男的动手，打不过的，那些打得过的只不过是在让你而已，有困难一定要寻求帮助，不要拿自己的生命开玩笑。,2,1,
该死的渣男！！！朱一龙演的太好了我现在恐男hhh,2,1,
厌男了又来追星就是因为去年遇到了一个沙壁前任想逃避现男一直到现在都很不想跟男的接触只能说追星也得擦亮眼睛,2,2,
什么时候能上学啊艹再在家呆下去我彻底厌男了,2,1.5,
我的蜜儿自己谈甜甜的恋爱但是每天给我发恐男小技巧,1,1.5,
今天也是厌男的一天??ps：只针对部分人我的朋友很感谢你们（真实的,2,1,
因为周二要出差四天每天都得和男的一起工作我就开始焦虑暴躁厌男和想家感觉每晚都会在酒店抹泪,2,2.5,
选择性厌男平常：烦死了男人没一个好东西看到帅哥：求求了给我个帅哥谈恋爱吧,2,1,
还说厌男这一天到晚的心思都在男的身上了不得不说厌的只能是又丑又坏的男的帅哥我永远喜欢！,1,1,
不是，老来看我干嘛？微博可以看访客记录了不知道？男的还来，男人不能上网不知道吗？我的微博厌男??拉黑了别来了女的也是，要不你就大大方方关注我看我，再这样我直接拉黑了另：??本人搞博君一肖本人搞博君一肖本人搞博君一肖本人搞博君一肖本人搞博君一肖??,2,3,
说实话最近有点厌男。厌现实生活中身边的男。,2,2,
一个体感喜欢天天骂男的的和发表厌男语录都没有真的多恨，甚至也很有可能是爱男姐，真的对男的没什么兴趣的一般聊都不太聊，直接无视了，就男的爱活活，爱死死。,2,1,
很認真地去和部門裡的人分享了自己的性格缺陷雖然說到恐男的時候大家都笑了但是還是覺得自己在分享的時候有被認真對待,1,1.5,
男人滚出我的微博给我点赞评论私信见一个我拉黑一个我厌男究极无敌厌男。看到男的就想呕,2,2,
《她厌男，她是我女友》没多犀利，但好读，像看微博首页。女性处境，东亚也太像了；对变化浑然不觉、察觉后怀念从前的男人形象也很典型；而觉醒后的女人，就是回不去了（里面的“我”还想把她教训回年轻时憧憬婚姻的样子,2,1,
#婴儿高铁上哭闹女子和宝妈对骂#现代人厌男厌女厌老厌幼人类是不是已经不合适群居了,2,1.5,
吓晕遇到过要vx的直接yp的还是第一次我说这些楠的别太荒谬了闲的没事分点自信给我恐男惹早晚??被剁掉,3,3,
该说不说认真在自己兴趣爱好/专业领域努力的男生真的很有魅力就是会让我很有好感不管是竞体还是音乐/辩论/舞蹈等等方面的但目前还是恐男哈哈,1,1,
伽罗王塌房了。。。这男的装得太深了自从摇光塌了之后听他说不会这样现在想想真是太天真啧啧啧男人太会装了每日恐男指标达成现在马场就剩星星能听他的歌了哪天要是他也塌了我可真的没歌听了,2,1.5,
额家旁边是一个小公园大晚上了两个男的在公园里嘶吼?情歌对唱被人骂了还骂骂咧咧“我?你老姆”恐男大概就来源于这种生活的点点滴滴,2,1.5,
完辽，感觉自己得了厌男症一跟男的聊天我就极度不耐烦白眼翻上天,2,4,
#女作家因两次被提醒管好小孩向12306投诉#姐真的厌男，厌童，厌自以为是的宝妈都是一类货丨啊纱呗们,2,1,
还有就是下午妈妈?和我说，昨天叶1??腾和我们分别后在那里哭想找我们玩，我第一反应就是这小孩竟然有戒断反应！带着他逛街的时候小手不自觉地会挽着我，我真的好喜欢他，有时候我会想虽然我真的厌男但是他要是我亲弟弟的话我肯定更疼他,2,1.5,
认识才两天的男生朝你挑眉是啷个回事嗦有点生理不适恐男症更严重了,4,3,
#我经历风暴#题材立意很好剧情和实际要反应题材的表现力还差点低于期待值票价超过三十就可以不用考虑了当然佟丽娅还是好漂亮男人真的恶心我恐男一辈子,2,1,
我他妈真的厌男第一名了死不死啊他妈一天好心情都坏了我日,2,1.5,
心动的信号这个瓜吃得我……吐了……日常恐男1/1,2,1.5,
第二个我真的恐男了你们男的有一个正常人吗？,2,1.5,
每天辅导这个死小孩让我的厌男和不生小孩的情绪达到顶峰,2,3,
温柔体贴的纸片人看多了就会对现实男的感到失望和无语又因此恐男而喜欢纸片人就此陷入循环我说,2,2,
[交税][交税][交税]咱就是说恐男乍一看我还以为是女医生,2,1.5,
【厌男】——[锦鲤附体]离火运来啦，厌男情绪越来越严重～厌娃情绪也会越来越严重。现在00后的妹纸，普遍跟我反应，不想结婚，不想生娃，恋爱能谈就谈，谈不了就算，别烦我～,2,3,
我要在现在这个时候遇见十七岁的我爸，听到他的脑残男发言可能会一拳捶死他厌男了,2,2.5,
行了，给我自己整笑了，哪有这么脆弱，棍蛋，深夜厌男,2,1.5,
谁规定只能喜欢一个人啊小学喜欢我们班主任她儿子，然后她儿子跟我同桌在一起了初中最初暗恋应该是初中语文老师，喜欢他，想引起他注意，故意上他课睡觉，他可讨厌我了还有初中一个前桌，长的挺帅，但爱装逼，后来觉得他有病就不喜欢了还有初中一个同桌，没考上重点高中，去了职高，后来看他平时发的视频，发现他成了精神小伙，觉得他配不上我了高中同学，因为经常会想到他，经常做梦梦到他也喜欢我，不过偶然听到，他跟一群男生在背后说我坏话，也就觉得恶心了，而且我觉得他根本就不喜欢我，他只喜欢长得好看的，我不好看大学还没上完，就是大学碰到的下头男有点多，最近有些厌男,2,2,
青蛇看得我很疑惑啊，比白蛇还疑惑...厌男还是不要看青蛇了...,2,1,
我他妈真实恐男了他们脑子里都装着什么？无语住了只要这个男人是个正常人就已经超过同龄男人的95%了,2,1.5,
真恶心，如果把我哥骂人发怒录视频发上网，一定爆红，足够把厌男话题推到最高峰,2,2,
#林英雄陷入厌男争议#国男爱韩男，支持互捅,2,1,
我的快乐源泉超话你妈厌男症了已经还讨厌家里有些碎碎叨叨的人永远站不到统一战线永远在这内讧,2,1.5,
粉鞠姐吧这姐我看是真厌男韩素汐装死了吃雪莉人血馒头装yy私下跟渣男无缝衔接算了还有脸阴阳别人真是EXO(O不发音),2,1,
