number,weibo_text,tokenized_text,opposite_sex_social_avoidance_1,opposite_sex_social_avoidance_2,opposite_sex_social_avoidance
1,#为什么越来越难恋爱了#因为恐男+恐婚+社恐，我只想和女生贴贴,越来越/难/恋爱/恐男/恐婚/社恐/女生/贴/贴,1,1,1
2,每次听朋友讲在酒吧里见到的男人做的事我都要害怕死了恐男了不想认识新男人了,每次/听/朋友/讲/酒吧/见到/男人/做/事/要害/怕死/恐/不想/认识/新/男人,3,1,2
3,#上外男生所投系牛磺酸泡腾片#好恶心啊?越来越恐男了（不正常的男的）,男生/投系/牛磺酸泡腾片/恶心/越来越/恐男/不/正常,4,3,3.5
4,#男子用菜刀砍伤妻子辩称管教不犯法#一天一个恐男恐婚小技巧,男子/菜刀/砍伤/妻子/辩称/管教/不/犯法/恐男/恐婚/技巧,3,3,3
5,世界上正常的男的不多我知道不正常的我真的一个也不想遇到了恐男了,世界/正常/不/知道/不/正常/不想/遇到/恐,3,2,2.5
6,天天看微博上这些热搜都厌男了多报道点好男人吧要不觉得女生好惨,天天/微博/热/搜/厌/报道/点好/男人/不/女生/好惨,3,3,3
7,一个普通的周末，在B站看了两个印象深刻的视频，一个是一个潮汕年轻导演拍的一个纪录片讲的是潮汕妈妈的日常，吃苦耐劳，无私付出，有着自己的一套认知和准则，越长大越会关注自己家乡，我慢慢开始品味出来，人呐，永远都甩不开离不了自己生长的土地，哪怕你抗拒，你仍旧是那个地方的人，是一个虔诚的捍卫者。我忽然想起了莱农最后还是回到了那不勒斯那个小小的镇。第二个视频是刚刚看完的13分钟的恐婚恐育恐男视频，期间我一度想要关掉，但我还是忍着不适认真的看完，妻子歇斯底里地诉说委屈而丈夫一脸麻木的冷漠，怀孕的时候买了一个衣服妻子说好不好看，丈夫说像堵墙，婆婆说产检孩子个头太小了，逼着吃不下肥肉的妻子吃掉转头在厕所狂吐，没有收入来源只能像乞求一样地伸手向丈夫要钱，还要遭受羞辱.....现实无法理想化，但它可以让旁观者的我们更多清醒的思考空间。再送给如果能看到我微博的大家一段我最近收藏的话，是来自一个都是女生的群，三八妇女节那天分享的一段话：姐妹们，人生是旷野，不是赛道，祝所有女性妇女节快乐。祝你们的脚步踏遍人类智识的所有角落，在结构性限制与压迫彻底消除之前，不要轻易相信天赋的倒果为因。祝你们在男性霸占的领域夺回自己应有的成就。祝你们无论在大众文化中，还是亲密关系里，不被物化、矮化、附庸化、宠物化，能够得到真正平等的爱与尊重。当然，如果你们不需要的话，也祝你们可以摆脱爱情的桎梏，得到更广阔的自由。祝你们的生存与事业不因性别受到显性或隐性的阻碍与伤害。祝你们成功，同时也祝你们无论是否达到世俗意义上的卓越，都能够拥有不被轻蔑、歧视与践踏的尊严，拥有任何女性都应该享有的权益，无需条件。,普通/周末/B/站/印象/深刻/视频/潮汕/年轻/导演/拍/纪录片/讲/潮汕/妈妈/日常/吃苦耐劳/无私/付出/有着/一套/认知/准则/越/长大/越会/关注/家乡/慢慢/品味/人呐/甩不开/离不了/生长/土地/抗拒/地方/虔诚/捍卫者/想起/莱农/最后/回到/那不勒斯/小小的/镇/第二个/视频/刚刚/看完/13/分钟/恐婚/恐育/恐/视频/期间/一度/想要/关掉/忍着/不适/认真/看完/妻子/歇斯底里/诉说/委屈/丈夫/一脸/麻木/冷漠/怀孕/买/衣服/妻子/好不好/丈夫/堵墙/婆婆/说产检/孩子/个头/太小/逼/吃不下/肥肉/妻子/吃掉/转头/厕所/狂吐/没有/收入/来源/只能/乞求/伸手/丈夫/要钱/遭受/羞辱/现实/无法/理想化/旁观者/更多/清醒/思考/空间/送给/看到/微博/一段/最近/收藏/女生/群/三八妇女节/那天/分享/一段话/姐妹/人生/旷野/赛道/祝/女性/妇女节/快乐/祝你们/脚步/踏遍/人类/智识/角落/结构性/限制/压迫/彻底消除/之前/不要/轻易/相信/天赋/倒果为因/祝你们/男性/霸占/领域/夺回/应有/成就/祝你们/大众文化/中/亲密关系/不/物化/矮化/附庸/化/宠物/化/得到/真正/平等/爱/尊重/不/需要的话/祝你们/摆脱/爱情/桎梏/得到/更/广阔/自由/祝你们/生存/事业/不因/性别/显性/隐性/阻碍/伤害/祝你们/成功/祝你们/是否/达到/世俗/意义/卓越/拥有/不/轻蔑/歧视/践踏/尊严/拥有/女性/应该/享有/权益/无需/条件,1,3,2
8,#官方通报两岁女童排除性侵可能#不怪网友担心，许超医生发的孩子患处图片我看了，的确不忍直视…但是借此污蔑女孩爷爷父亲性侵的，借机鼓动厌男的，挑动对立的，麻烦也处置下！不能让他们到处兴风作浪了！L马上谈的微博视频,两岁/女童/排除/性侵/不怪/网友/担心/许超/医生/发/孩子/患处/图片/不忍/直视/借此/污蔑/女孩/爷爷/父亲/性侵/借机/鼓动/厌/挑动/对立/麻烦/处置/不能/到处/兴风作浪/L/马上/谈/微博/视频,1,1,1
9,B295【投稿】bot好，因为前两天那个玻珠逃离农村重男轻女的原生家庭和小狗一起流浪的投稿知道了bot，一条条翻下去然后一边看一边哭。高柱出生在jhsy的年代有个大两岁半的哥哥，豹豹猫猫生高柱是因为豹豹不戴套猫猫生完哥哥后面已经流产过一次怕流产疼所以生了高柱。高柱出生一个月就被丢在农村奶奶家与苍蝇为伴，六个月大的时候因为在院子里吃垃圾吃坏肚子高烧到42度好几天，居然没有烧成傻子。高柱的猫猫不喜欢高柱，哥哥是个基本盘男宝经常打高柱，家里只有豹豹对高柱好但是在高柱12岁的时候诿卸高柱。幸运的是高柱一直学习很好，从很好的大学毕业有了一份体面但不赚钱的工作，家人之间看起来也其乐融融但是只有高柱自己知道自己有多恨他们，高柱心里没有爱只有恨。高柱上学的时候互联网刚开始流行大家都没有手机，高柱一直在自己用书本和大自然构筑的世界里生长，到了大学才开始接触到人类社会，知道人和人的差距有那么大，原生家庭带来的眼界局限性基本决定了一个人的一生，高柱的同学都出国出省随便玩，很早就规划好了自己将来的方向，高柱不知道自己要干什么，豹豹猫猫给的生活费只够基本生活他们也不允许高柱有任何娱乐方面的花销，所以高柱只想着大学毕业就能去工作挣钱养活自己了。高柱现在活成了一只痛苦的猪，即使厌男决定不婚育，也依然每天被工作和生活中各种琐事弄得精疲力尽，高柱真的好想变得很有钱很有钱，琼人的生活充满了迁就和节俭，但是高柱的能力和性格注定不是那种赚大钱的人，所以高柱觉得活着真的很没意思。,B295/bot/前两天/玻珠/逃离/农村/重男轻女/原生家庭/小狗/一起/流浪/知道/bot/一条条/翻下去/一边/一边/哭/高柱/出生/jhsy/年代/有个/两岁半/哥哥/豹/豹猫/猫生/高柱/是因为/豹豹/不/戴套/猫猫/生完/哥哥/后面/流产/一次/怕/流产/疼/生了/高柱/高柱/出生/一个月/丢/农村/奶奶家/苍蝇/为伴/六个月/院子/吃/垃圾/吃坏/肚子/高烧/42/度/居然/没有/烧成/傻子/高柱/猫猫/不/喜欢/高柱/哥哥/基本/盘/男宝/经常/打高柱/家里/豹豹/高柱/高柱/12/岁/诿/卸/高柱/幸运/高柱/一直/学习/大学毕业/一份/体面/不/赚钱/工作/家人/之间/看起来/其乐融融/高柱/知道/恨/高柱/心里/没有/爱/恨/高柱/上学/互联网/刚/流行/没有/手机/高柱/一直/书本/大自然/构筑/世界/生长/大学/接触/人类/知道/差距/原生家庭/带来/眼界/局限性/基本/决定/一生/高柱/同学/出国/出省/随便/玩/早就/规划/将来/方向/高柱/不/知道/干什么/豹/豹猫/猫/生活费/只够/基本/生活/不/允许/高柱/娱乐/方面/花销/高柱/想着/大学毕业/工作/挣钱/养活/高柱/活成/一只/痛苦/猪/厌/决定/不/婚育/依然/每天/工作/生活/中/琐事/弄/精疲力尽/高柱/变得/有钱/有钱/琼人/生活/充满/迁就/节俭/高柱/能力/性格/注定/赚大钱/高柱/活着/没意思,1,1,1
10,没开玩笑我除了身边男性好朋友我现在看到别的男的都恶心恐男了彻底恐男了,没/开玩笑/身边/男性/朋友/看到/恶心/恐男/彻底/恐男,4,5,4.5
11,男人发情就要操女人然后女人怀孕生下了悲剧痛苦男人真恶心又是厌男仇男的一天,男人/发情/操/女人/女人/怀孕/生下/悲剧/痛苦/男人/真/恶心/厌/男仇,4,5,4.5
12,最近的新闻以及身边同学的经历让原本恐婚恐孕的我现在直接恐男了听我说谢谢你,最近/新闻/身边/同学/经历/恐婚/恐孕/直接/恐男/听,3,3,3
13,#买超与女子同回酒店#恐男情绪又达到了满级狗屁爱情,买超/女子/同回/恐男/情绪/达到/满级/狗屁/爱情,3,3,3
14,wtm服了我都快把恐婚恐男刻脑门了是get不到我的点还是故意不想说非得老子明说咱俩没戏别再找我吗,wtm/服/快/恐婚/恐男刻/脑门/get/不到/点/故意/不想/非得/老子/明说/咱俩/没戏/找,3,3,3
15,#女硕士遭追求者砍杀案二审将于15日开庭#每天一个恐男小新闻?,女硕士/遭/追求者/砍杀/案二审/15/日/开庭/每天/恐男小/新闻,3,3,3
16,我真的日常恐男了但这只会让我的生活更快乐So…,日常/恐男/只会/生活/更/快乐/So,1,2,1.5
17,这个微博每天刷的我恐男恐婚恐孕对象回家都想给他两脚,微博/每天/刷/恐/恐婚/恐孕/对象/回家/两脚,3,1,2
18,男人们的恋爱超话男人事多起来比女人还事多，这已经不是崆峒了，这是上升到恐男啦,男人/恋爱/男人/事多/起来/女人/还事/崆峒/上升/恐,3,1,2
19,#郸城警方通报男子持刀砍人事件#谢谢恐男一辈子,郸城/男子/持刀/砍/恐男/一辈子,3,3,3
20,我想谈恋爱我不想谈恋爱我想不想谈恋爱到底想不想谈恋爱救命！我恐男（骂骂咧咧）,谈恋爱/不想/谈恋爱/不想/谈恋爱/到底/不想/谈恋爱/救命/我恐/骂骂咧咧,1,1,1
21,今年冬天能不能让我谈一个额啊啊我服了我有点恐男??♂?,今年冬天/不能/谈/额/恐男,1,1,1
22,#为什么越来越难恋爱了#因为男的有病，因为恐男，因为恐婚恐育,越来越/难/恋爱/病/恐男/恐婚/恐育,3,2,2.5
23,#恐婚的年轻人究竟在怕什么#恐男怕婚闹怕家暴怕妈宝怕软饭,恐婚/年轻人/究竟/怕/恐男怕/婚闹/怕/家暴/怕/妈宝怕/软饭,3,3,3
24,#恐婚的年轻人究竟在怕什么#这热搜说降就降，完全消失了你说怕什么？一个人过的好好的干嘛要结婚，我恐男,恐婚/年轻人/究竟/怕/这热/搜说/降/降/完全/消失/怕/人过/好好/结婚/我恐,1,3,2
25,最近真的太恐男了已经无法分辨到底是因为身边的事情恐男还是网上的事情恐男了,最近/太恐/无法/分辨/到底/是因为/身边/事情/恐男/网上/事情/恐男,3,2,2.5
26,救命啊啊啊啊啊啊啊为什么有的男的能这么恶心这么油腻这么猥琐啊啊啊啊啊我要恐男了???????????,救命/恶心/油腻/猥琐/恐,4,4,4
27,厌男只针对三四十的油腻男当然也不乏26岁后的油腻男?,厌/三四十/油腻/不乏/26/岁/油腻,3,1,2
28,这不是女性成长片，这是恐婚恐男宣传片，全剧只有关涛一个好男人是吧,女性/成长/片/恐婚/恐男/宣传片/全剧/涛/男人,1,1,1
29,#郸城警方通报男子持刀砍人事件#唐山那个没过去多长时间又出个这个…谢谢连夜爬上恐男山了,郸城/男子/持刀/砍/没/过去/多长时间/出个/连夜/爬/恐/男山,3,3,3
30,可恶连做梦都是男人控制不住自己的情绪当街殴打女性被吓醒的那一刻真的恐男了,可恶/做梦/男人/控制/不住/情绪/当街/殴打/女性/醒/那一刻/恐男,4,4,4
31,男的怎么说出来让女人别恐男的话你猜一下女的为什么恐男呢,女人/别恐/猜/女/恐男,1,3,2
32,不想恋爱不想结婚不想生娃对男人没信心只会伤害女人所有的风浪都是男人带来的恐男,不想/恋爱/不想/结婚/不想/生娃/男人/没/信心/只会/伤害/女人/风浪/男人/带来/恐,3,3,3
33,#女子在酒吧厕所被男子强行拖进隔间#无论是什么关系都不能当着那么多人的面撕人家女孩的衣服又是恐男的一天,女子/酒吧/厕所/男子/强行/拖进/隔间/无论是/关系/不能/多人/面/撕/女孩/衣服/恐,3,3,3
34,#李润祺祖师妹#额最近流行爆渣男是吧一天一个恐男婚婚小技巧,李润祺/祖/师妹/额/最近/流行/爆/渣男/恐男婚/婚/技巧,3,2,2.5
35,我他妈都说了我现在恐男…男的能不能别说话了,妈/恐男/不能/说话,2,2,2
36,男的好可怕读了书的更可怕我真的恐男了是不是以后找单纯老公只能找农民了啊妈的,可怕/读/书/更/可怕/恐男/是不是/以后/找/单纯/老公/只能/找/农民/妈,3,3,3
37,#如何回复普信男#看到群里男生nt发言就恶心每日恐男小技巧get?,回复/普信男/看到/群里/男生/nt/发言/恶心/每日/恐男小/技巧/get,4,3,3.5
38,这年头教学楼保安都在随意judge女生了吗没有歧视保安的意思但真是普通又自信呢今日份第1000次厌男,这年头/教学楼/保安/随意/judge/女生/没有/歧视/保安/意思/真是/普通/自信/今日份/1000/次厌,3,3,3
39,#唐山再现打人事件#今天还是恐男的一天……,再现/打人/今天/恐男,3,3,3
40,#母女上楼被雨衣男子拖走#真的很恐怖啊，真的很恐男了，救命，还有没有王法了啊，女孩子就该这样被对待吗！！！！！所以现在回家也不安全了是吗，男人可不可以管好自己管好下半身啊！！！！,上楼/雨衣男/子/拖走/恐怖/很恐/救命/没有/王法/女孩子/回家/不/安全/男人/可不可以/管好/管好/下半身,3,4,3.5
41,看了今天晚上的两场电影（她经过风暴，学爸），主打的就是不敢结婚恐男不敢生娃负担不起责任,今天/两场/电影/风暴/学爸/主打/不敢/结婚/恐男/不敢/生娃负/担不起/责任,3,3,3
42,#妻子遭调戏丈夫出面阻止被持刀追砍#妈的又是恐男的一天我还是一个人过吧,妻子/遭/调戏/丈夫/出面/阻止/持刀/追/砍/妈/恐/人过,5,4,4.5
43,#未婚夫想通过婚姻改变命运#别骗小姑娘了直接找个富婆多好打开微博，每天一个恐婚恐男小技巧,未婚夫/婚姻/改变命运/别骗/小姑娘/直接/找个/富婆/多好/打开/微博/每天/恐婚/恐男小/技巧,3,3,3
44,zaitmd也不想和学弟说话了问就是每天get一个厌男小技巧我不是上帝么我怎么像孙子一样就因为我俩没“互相理解”？不想和他争论了然后就忍了但还是想吐槽忍的没度了,zaitmd/不想/学弟/说话/问/每天/get/厌男小/技巧/上帝/孙子/我俩/没/互相理解/不想/争论/忍/想吐槽/忍/没度,3,3,3
45,#罗冠军#一早醒了就看到这事真的恶心日常恐男,罗/冠军/一早/醒/看到/事/恶心/日常/恐男,4,4,4
46,#警方回应女子被男子拖进厕所隔间#真的要恐男了?,回应/女子/男子/拖进/厕所隔间/恐,3,3,3
47,#严惩唐山烧烤店打人事件狂徒#店外的视频更恐怖，看完一阵寒意，恐男了,严惩/唐山烧烤店/打人/狂徒/店外/视频/更/恐怖/看完/一阵/寒意/恐男,3,3,3
48,#严惩唐山烧烤店打人事件狂徒#正因为越来越恐男，所以我写不下去现言了只有女孩子贴贴能让我安心,严惩/唐山烧烤店/打人/狂徒/正/越来越/恐男/写/不/下去/现言/女孩子/贴/贴/安心,3,2,2.5
49,每天一个恐男小技巧#我命油我不油天##如何评价王思聪和孙一宁的爱恨情仇#,每天/恐男小/技巧/我命/油/不油天/评价/王思聪/孙一宁/爱恨/情仇,3,3,3
50,我发誓至少两个星期都学到晚上十一点以后了就今天！就今天想休息一下出来操场听会歌被球砸到脚踝辣么重辣么重！！！踢足球踢到跑道你还有理了每日一个恐男小技巧…,发誓/至少/学到/十一点/以后/今天/今天/休息/操场/听/会歌/被球/砸/脚踝/辣/重辣/重/踢足球/踢/跑道/理/每日/恐男小/技巧,3,3,3
51,#恐男日常#希望?们不要在和我说话别理我谢谢,恐男/日常/希望/不要/说话/别理,5,2,3.5
52,#白色月光#啊，准备看看……怎么说，现在已经恐男社交了，不说夫妻之间出轨了，就那些猥琐男，够让人恶心的，尤其是为老不尊贪财好色的伪君子，让我觉得能好好活着就已经很不容易了……,白色/月光/准备/看看/恐男/社交/不/夫妻/之间/出轨/猥琐男/够/恶心/老不尊/贪财好色/伪君子/好好/活着/不/容易,5,4,4.5
53,真的很难过，他凭什么要经历这些事情。每天一些厌男小技巧。,难过/经历/事情/每天/厌男小/技巧,3,3,3
54,这个世界怎么了或者其实是一开始就是这样的不过我一直没发现罢了?厌男情绪达到顶点,世界/一直/没/发现/厌/情绪/达到顶点,5,3,4
55,厌男这事儿就是天天烦天天厌天天都想骂everydayday,厌/事儿/天天/烦/天天/厌/天天/骂/everydayday,2,4,3
56,#12岁男孩性侵同岁脑瘫亲戚#每天一个厌男小技巧。这劣根性是刻在骨子里的吧,12/岁/男孩/性侵/同岁/脑瘫/亲戚/每天/厌男小/技巧/劣根性/刻/骨子里,3,4,3.5
57,真恐婚恐男了，特别害怕以后结婚了被男的给杀了,真/恐婚/恐男/特别/害怕/以后/结婚/杀,5,5,5
58,这辈子心理阴影又来了现在是我的有一个恐男巅峰期,这辈子/心理/阴影/恐男/巅峰期,5,5,5
59,#网传女子被男子拖拽进厕所隔间#又是恐男的一天，真的害怕,网传/女子/男子/拖拽/进/厕所隔间/恐/害怕,3,3,3
60,我真的有时候很厌男都是什么傻diao玩意，妈宝得要死，玻璃心得要死，还喜欢对女生荡妇羞辱，比不起女生就说别人靠不正经路线。这种diao，给他个这种路子道德丢得比谁都快。玻璃心得要死，真口区了！这种就是他妈当时求神拜佛生下来要继承皇位的?八玩意,有时候/很厌/傻/diao/玩意/妈宝/要死/玻璃/心得/要死/喜欢/女生/荡妇/羞辱/比不起/女生/不正经/路线/这种/diao/这种/路子/道德/丢得/快/玻璃/心得/要死/真/口区/这种/他妈/当时/求神拜佛/生/下来/继承/皇位/八/玩意,4,4,4
61,厌男情绪在这几天大爆发我有罪的话可以惩罚我…跟男的聊天都少活几年,厌/情绪/爆发/有罪/惩罚/聊天/少活/几年,5,5,5
62,其实我也挺厌男的，童年过得并不快乐，想去哪里都去不到，写不好作业考不了好成绩就被爸爸打，即使我考得不错他也没奖励我什么，我有一段时间是放弃学习的，无论我怎么样都是白费的，小学中后段还被班里的男孩子集体排挤欺负我，所以对男孩子阴影很深。在原生态来讲我根本不信任任何一个男人包括我爸爸，即使他现在做生意有些钱了，能来弥补过去的错误，身边的男生都比较随和友好，不像之前那些混账对我拳打脚踢的，但是心灵的伤疤是完全好不了的，它就在那里无论怎么粉饰它，它总是会在那里，唯一能做的就是不伤害它，防止它继续流血。然而有的人明明就听了我的很多经历，但却装聋作哑，即使你经历的痛苦比我多也不允许用你的自私和欲望来伤害我，恶心我，这让我更加厌恶男人，更加对男人没有共情能力，难以对任何一个男人产生一点点信任感和安全感，你永远得不到你想要的，我在此永远地诅咒你。,挺/厌/童年/过得/不/快乐/想去/不到/写/不好/作业/考/不了/成绩/爸爸/考得/不错/没/奖励/一段时间/放弃/学习/白费/小学/中/后段/班里/男孩子/集体/排挤/欺负/男孩子/阴影/很深/原生态/来讲/根本/不/信任/男人/包括/爸爸/做生意/钱/能来/弥补/过去/错误/身边/男生/比较/随和/友好/不像/之前/混账/拳打脚踢/心灵/伤疤/完全/不了/粉饰/总是/唯一/做/不/伤害/防止/继续/流血/明明/听/很多/经历/装聋作哑/经历/痛苦/不/允许/自私/欲望/伤害/恶心/更加/厌恶/男人/更加/男人/没有/共情/能力/难以/男人/产生/信任感/安全感/得不到/想要/诅咒,5,3,4
63,讲道理，我以前对男性真的没有过多的厌恶或者不喜欢，但是今天发生的事情让我彻彻底底的开始厌男了,讲道理/以前/男性/没有/过多/厌恶/不/喜欢/今天/发生/事情/彻彻底底/厌,1,3,2
64,#唐山男子打人前对女孩说侮辱性字眼#真的很恶心男的是不是整天就知道那点事?看了这两天的新闻之后真的失望透顶本来对恋爱抱有幻想的我逐渐开始产生恐男情绪我还是好好追星吧,男子/打人/前/女孩/侮辱性/字眼/恶心/是不是/整天/知道/那点/事/两天/新闻/失望透顶/本来/恋爱/抱有幻想/逐渐/产生/恐男/情绪/好好/追星,4,4,4
65,真的好讨厌猪男啊吃饭要哼吃完一躺抽烟喝酒不干事每日恐婚恐男+1,讨厌/猪/吃饭/吃/完一/躺/抽烟/喝酒/不/干事/每日/恐婚/恐男,3,5,4
66,#上外通报一学生被投放异物#最近真的恐男套餐刷新三观,学生/投放异物/最近/恐男/套餐/刷新/三观,3,4,3.5
67,在今天我要表明一下自己的立场，顺直朋友们如果你在我这里吐槽你的老公又转头与他相爱，我会恨你并且与你绝交。不要把我当垃圾桶，我就是脑子拐不过弯，无法根据现实情况改变思想，会站在你立场上狠狠讨厌你的老公，顺便讨厌世界上所有的男人。是的，我厌男是你害的。,今天/我要/表明/立场/朋友/吐槽/老公/转头/相爱/我会/恨/绝交/不要/垃圾桶/脑子/拐/弯/无法/现实情况/改变/思想/会站/立场/狠狠/讨厌/老公/顺便/讨厌/世界/男人/厌/害,2,3,2.5
68,我真的特别讨厌厌男不包括正常男性这种说辞，既然你讨厌的只是不正常男性那不是厌男，那是讨厌sb,特别/讨厌/厌/不/包括/正常/男性/这种/说辞/讨厌/不/正常/男性/厌/讨厌/sb,1,2,1.5
69,真真真真真的恐男完全不知道怎么回复别人消息尴尬极了尴尬极了毁灭吧,恐男/完全/不/知道/回复/消息/尴尬/尴尬/毁灭,1,2,1.5
70,#网传女子被男子拖拽进厕所隔间#又是恐男小技巧啊！,网传/女子/男子/拖拽/进/厕所隔间/恐/技巧,3,3,3
71,想说明一下我昨天那个微博（没说清所以删了我说我厌男厌恶的是那类油腻自以为是大男子主义的渣男看qj以及对女性施暴的新闻看的我真的好心痛小吴推荐我看的摩天大楼我不敢看女性到底要怎样做才能平平安安呢？受害者不光是女性还有男性（推荐看卷福演的帕特里克梅尔罗斯）那些畜生只会用下半身思考的蠕虫不他们连思考都不会连畜生都不如根本不配活着?如果法律都没办法作为最后的保障受害人该有多绝望啊？！,说明/昨天/微博/没说/清/删了/厌/厌恶/那类/油腻/自以为是/大男子主义/渣男/qj/女性/施暴/新闻/心痛/吴/推荐/摩天大楼/不敢/女性/到底/做/平平安安/受害者/女性/男性/推荐/看卷/福演/帕特里克/梅尔/罗斯/畜生/会用/下半身/思考/蠕虫/不/思考/不会/畜生/根本/不配/活着/法律/没/办法/最后/保障/受害人/绝望,5,3,4
72,我的厌男情绪通常在虎扑步行街发我喜欢的小姐姐的博的评论区里呈指数上升,厌/情绪/通常/虎/扑/步行街/发/喜欢/小姐姐/博/评论/区里/呈/指数/上升,1,3,2
73,#孕妇出车祸瘫痪丈夫欲离婚#妇联存在吗？恐男了…,孕妇/出车祸/瘫痪/丈夫/欲/离婚/妇联/存在/恐,3,3,3
74,一天一个恐男小技巧今天听室友说她今天看到的一件事成功让我yue了,恐男小/技巧/今天/听/室友/今天/看到/一件/事/成功,4,4,4
75,#男子因吵架拿啤酒瓶刺死女友#每天一个恐男小故事,男子/吵架/啤酒瓶/刺死/女友/每天/恐男小/故事,3,3,3
76,西八当我发现不止一个男的上厕所不洗手我恐男+1分,西八当/发现/不止/厕所/不/洗手/我恐/分,3,3,3
77,#缩短教育时间能提高生育率吗#跟本就不是这个问题好吧，现代女性不想结婚生孩子是因为太多的家暴出轨，男的膀大腰圆（不是说所有）啥事没有，女性胖就会因此自卑焦虑（不是说所有），女性想离婚也会因为孩子有顾虑（不是说孩子有错），一面要面临生孩子的痛苦和风险以及抚养孩子长大的责任一面又要面临可能找到一个人渣的风险。而且其实很多时候其实女性如果经济独立就算有孩子也不会有任何问题，在国外就可以买j子，但前提得有钱，只是这对孩子比较不公平，现在中国的女性虽然相较别国受教育程度要高出很多，但还是会有挺多不公平待遇，能靠自己的努力去争取高质量且独立自由的生活，为什么要冒着可能找到一个人渣的风险去过日子呢（况且并不是所有人都这么想）所以缩短教育时间只会让女性学习更加刻苦努力实现财富自由，厌男使生育率再次下降，要真想提高生育率，你可以研究研究人工子宫造就双性人，这样你好我好大家都好,缩短/教育/时间/提高/生育率/问题/现代/女性/不想/结婚/生/孩子/是因为/太多/家暴/出轨/膀大腰圆/啥事/没有/女性/胖就会/自卑/焦虑/女性/离婚/孩子/顾虑/孩子/有错/一面/面临/生/孩子/痛苦/风险/抚养/孩子/长大/责任/一面/面临/找到/人渣/风险/很多/女性/经济/独立/孩子/不会/问题/国外/买/j/子/前提/有钱/孩子/比较/不/公平/中国/女性/相较/别国/受/教育/程度/高出/很多/挺/不/公平/待遇/努力/争取/高质量/独立/自由/生活/找到/人渣/风险/过日子/所有人/缩短/教育/时间/只会/女性/学习/更加/刻苦/努力实现/财富/自由/厌男使/生育率/再次/下降/真想/提高/生育率/研究/研究/人工/子宫/造就/双性人/你好,3,5,4
78,今天又是恐男的一天呢intoyou04针不戳,今天/恐/intoyou04/针/不/戳,1,2,1.5
79,今天本来心情很好的，但是刚刚看微博刷到了西安地铁的事件，真的忍不住自我带入了一下，不管原因为何，那种大庭广众之下被男性扯得衣衫不整，那种无力的绝望感，真的让人心生恐惧。这个社会，真的太让我恐男厌男了，突然就觉得我磕的夫夫cp都是些什么绝世好男人啊，哎！或许这就应了那句话：男的和男的过得很幸福，女的和女的过得也很幸福，但是男的和女的就过不到一起吧。和我身边的朋友聊天，大家的恋爱观婚姻观都差不多，总的来说就是：结个屁婚谁愿意生孩子谁生去吧啥都不如?来的实在，哈哈，我还想着以后和我的姐妹手拉手去跳广场舞哪。以后不刷微博了，真是太影响心情，哼，生气ing！,今天/本来/心情/刚刚/微博/刷/西安地铁/忍不住/自我/带入/原因/大庭广众/之下/男性/扯/衣衫不整/无力/绝望/感/人心/生/恐惧/太/恐/男厌/突然/磕/夫夫/cp/绝世/男人/或许/应/那句话/幸福/女/女/幸福/女/不到/一起/身边/朋友/聊天/恋爱观/婚姻观/差不多/结个/屁婚/愿意/生/孩子/生去/实在/想着/以后/姐妹/手拉手/跳/广场/舞/以后/不刷/微博/真是太/影响/心情/生气/ing,2,5,3.5
