number,weibo_text,tokenized_text,opposite_sex_social_avoidance_1,opposite_sex_social_avoidance_2,opposite_sex_social_avoidance
181,【投稿】想问一下不是独生子的姐妹们，对自己的兄弟姐妹是一种什么感情呢，尤其是姐姐对弟弟的感情。我和我弟弟相差七岁，从小在一起长大的，没有分开过。家庭也很和睦，没有大矛盾。可我对我弟弟没有一点感情，我也不是不喜欢小孩，我上大学的时候因为要离开我一岁多的侄子哭了，他甚至只是一周来一两次我家而已。想家也都是想好吃的，想爸爸妈妈，从来没想过我弟弟，甚至现在越来越讨厌他，还什么都不懂的小男孩，又不爱干净，又没有情商。我完完全全把自己当作他的长辈，所以他说一些稍微“冒犯”的话我就会很生气。包括我俩的性别，我总觉得姐弟是个让人不太舒服的组合（没有冒犯的意思）。爸爸妈妈从来都很注重公平，买吃的都是买两份，我什么也没缺过，我弟的童年甚至还没有我一半幸福。但我感觉得到，越来越长大，越来越偏向他了。特别是在爸妈辛苦一辈子才能挣到一套房子的普通家庭，买两份的公平也只能维持在吃的上了。比如昨天，好几个月没喝奶茶了，出去玩想喝，我和我弟一人买了一杯，我推荐给他我点的奶茶，他没要，点了一杯xx柠檬，到手之后果然他不喜欢喝，在我明确表达我接受不了他拿我的吸管喝之后（他真的很懒，不愿意刷牙），我想分给我妈尝尝，结果我妈到手里就塞给他了。结果就是两杯我只喝了一口。这种事让我更加讨厌他，甚至想过以后只给爸妈买东西，不想给钱，不想让他们花在我弟身上。写的有点太长了，谢谢愿意看我的情绪垃圾，只是最近恐男的新闻看得多了，觉得只有爸妈的感情才是真的感情，所以对他们偏心格外敏感了些。其实该倒苦水的也不该是我，应该是被我冷漠甚至暴躁对待的我弟。他们都没有做错什么，我才应该大度一点看开一点。,问/独生子/姐妹/兄弟姐妹/感情/姐姐/弟弟/感情/弟弟/相差/七岁/从小/一起/长大/没有/分开/家庭/和睦/没有/矛盾/弟弟/没有/一点/感情/不/喜欢/小孩/大学/离开/一岁/侄子/哭/一周/一两次/我家/想家/好吃/爸爸妈妈/从来没/想过/弟弟/越来越/讨厌/不/懂/小男孩/不/爱/干净/没有/情商/完完全全/当作/长辈/稍微/冒犯/生气/包括/我俩/性别/总/姐弟/不/太/舒服/组合/没有/冒犯/意思/爸爸妈妈/从来/注重/公平/买/吃/买/两份/没/缺过/我弟/童年/没有/一半/幸福/感觉得到/越来越/长大/越来越/偏向/特别是在/爸妈/辛苦/一辈子/挣/一套/房子/普通家庭/买/两份/公平/只能/维持/吃/昨天/好几个/月/没/喝/奶茶/出去玩/喝/我弟/一人/买/一杯/推荐/我点/奶茶/没/要点/一杯/xx/柠檬/到手/不/喜欢/喝/明确/表达/接受/不了/吸管/喝/懒/不/愿意/刷牙/分给/我妈/尝尝/我妈/手里/塞/两杯/喝/一口/这种/事/更加/讨厌/想过/以后/爸妈/买/东西/不想/给钱/不想/花/我弟/身上/写/太长/愿意/情绪/垃圾/最近/恐男/新闻/看得/爸妈/感情/感情/偏心/格外/敏感/倒苦水/不该/应该/冷漠/暴躁/我弟/没有/做错/应该/大度/一点/看开一点,2,2,2
182,恐男了…如果以前只是厌，现在是恐有多远躲多远,恐男/以前/厌/恐有/多远/躲/远,2,5,3.5
183,最近上网满屏都是吃人不吐骨头的畜生男结果就是这段时间女生的恐男指数在不断暴涨,最近/上网/满屏/吃人不吐骨头/畜生/段时间/女生/恐/指数/不断/暴涨,2,3,2.5
184,最近在看《她对此感到厌烦》，觉得自己厌男情绪有在加重,最近/对此/感到/厌烦/厌/情绪/加重,1,2,1.5
185,#母女上楼被雨衣男子拖走#最近的新闻真的很奇怪，好像天天在教人恐男恐婚，究竟是怎么了,上楼/雨衣男/子/拖走/最近/新闻/奇怪/天天/教人/恐男/恐婚/究竟,2,1,1.5
186,每次恐男的时候就会想，为什么我不是一个拉子,每次/恐男/拉子,2,3,2.5
187,我觉得我需要看心理医生了真就是各方面恐男恐婚恐恋,需要/心理医生/真/方面/恐男/恐婚/恐恋,4,4,4
188,深夜总喜欢想点不该想的，本人第一次对不谈恋爱不结婚不要孩子的想法产生了动摇。。。。我在想我要是老了，我该怎么办。可是我真的很不会谈恋爱，还厌男，讨厌熊孩子也害怕生孩子。。之前老幻想着自己可以去领养一个孩子但是上网查阅之后发现领养孩子并不是那么容易。,深夜/总/喜欢/想点/不该/第一次/不/谈恋爱/不/结婚/不要/孩子/想法/产生/动摇/老/不会/谈恋爱/还厌/讨厌/熊/孩子/害怕/生/孩子/之前/老/幻想/领养/孩子/上网/查阅/发现/领养/孩子/容易,2,2,2
189,他爹的任何年龄段的男的都有人随地小便厌男了,爹/年龄段/有人/随地/小便/厌,3,2,2.5
190,#唐山打人事件9人全部落网#从昨天看到新闻开始，我最强烈的感受就是深深深深的难过，愤怒排第二。这个社会对女性真的是太不友好了，男的没办法感同身受只会说小题大做、又打拳了、开一些并不好笑的玩笑比如你长这样很安全等。总是说别把事情上升到性别对立，可是性别对换了这样的事情根本不可能发生啊！别说是这些施暴者，就算是媒体对于社会上的热点也总是在玩文字游戏。将男性的罪行中性化，打人说成双方交谈争吵。若不是这几个女孩穿着保守，恐怕又要有很多人说是她们自己不检点了。受害者总是要戴罪的。此外，男性犯了事词条上将性别能隐就隐，女性有了错就一定要写女xx。不想继续写了，每天一个恐男小技巧了。只想说既然落网了，那就请务必严惩吧，别找替罪羊，毕竟保护伞那么结实，15刑拘大逃犯,唐山打人/落网/昨天/看到/新闻/强烈/感受/深深/深深/难过/愤怒/排/第二/女性/太/不/友好/没/办法/感同身受/只会/小题大做/打拳/开/不好/笑/玩笑/你长/安全/总是/说别/事情/上升/性别对立/性别/对换/事情/根本/不/发生/施暴者/媒体/热点/总是/玩/文字游戏/男性/罪行/中性化/打人/说成/双方/交谈/争吵/女孩/穿着/保守/恐怕/很多/不/检点/受害者/总是/戴罪/男性/犯/了事/词条/上将/性别/能隐/隐/女性/错/写/女/xx/不想/继续/写/每天/恐男小/技巧/落网/请/务必/严惩/找/替罪羊/毕竟/保护伞/结实/15/刑拘/逃犯,3,3,3
191,#烧烤店主回应多名男子骚扰殴打女生#真就恐男了，这群男的怎么还有老婆的啊！真没被家暴过吗,回应/男子/骚扰/殴打/女生/真/恐/这群/老婆/真/没/家暴,3,3,3
192,考虑得越多，越恐男恐恋恐婚，怕是要一辈子单着,考虑/越多越/恐男/恐恋/恐婚/怕/一辈子/单着,5,5,5
193,#作为女性所遭受的语言暴力#我真的恐男啊我感觉很多熟悉的同辈男生只要不牵涉男女恋爱关系都是通情达理体体面面的正常人一到男女关系上就不知道是个什么物种了真的恐,女性/遭受/语言/暴力/恐男/很多/熟悉/同辈/男生/不/牵涉/男女/恋爱/关系/通情达理/体体面面/正常人/一到/男女关系/不/知道/物种/恐,3,4,3.5
194,老男人能不能离我远点我真的会恐男????????,老/男人/不能/远点/会恐,3,3,3
195,又看到了疯批伤害女孩的视频，厌男情绪再创新高，希望疯批男人死的干干净净,看到/疯批/伤害/女孩/视频/厌/情绪/再创新高/希望/疯批/男人/死/干干净净,5,3,4
196,社会新闻看多了越来越厌男特指猥琐/犯罪/各种意义上的脑子有病我都不知道怎么形容那种感觉就好像一坨坨狗屎一样在社会上横行霸道惹得这个大环境恶臭稀烂得流出污水令人反胃有些新闻里的当事人的操作真是太令人匪夷所思了就很蠢很烂很恶很俗你都没办法用正常人的思维和逻辑去剖析不禁思考他大爷的这是什么生物一天天的被刷新三观人和人之间的差别真够大的恶和善都是两极化可能任何事都如此吧是什么原因呢小到家庭教育？大到整个教育环境和社会环境？还是自古就固有的某些糟粕？有些男性活得那么坦率正直清澈明朗干干净净的相反也有像畜生一样的存在即污点,新闻/看多/越来越/厌/特指/猥琐/犯罪/意义/脑子/有病/不/知道/形容/一坨/坨/狗屎/横行霸道/惹/环境/恶臭/稀烂/流出/污水/令人/反胃/新闻/当事人/操作/真是太/令人/匪夷所思/蠢/很烂/很恶/很俗/没/办法/正常人/思维/逻辑/剖析/不禁/思考/大爷/生物/一天天/刷新/三观/之间/差别/真够/恶/和善/两极化/事/原因/小到/家庭教育/大到/整个/教育/环境/环境/自古/固有/糟粕/男性/活得/坦率/正直/清澈/明朗/干干净净/相反/畜生/存在/污点,2,3,2.5
197,我金主说他一直没说自己是男的是因为我天天骂男的厌男，怕我知道后不接他稿了,金主/一直/没说/是因为/天天/骂/厌/男怕/知道/不接/稿,1,2,1.5
198,我是真恐婚恐育恐男人，但是也不能说自己没有期待过有一天遇到喜欢的男生，我是觉得自己的喜欢不重要的，毕竟我也不懂喜欢一个人是什么感觉，我觉得我喜不喜欢他不重要，但是他必须是要喜欢我，对我好。但是我在期待这些的同时我又在害怕和男的相处，不知道要怎样交流。每次抖音上刷到那些关于生孩子结婚的视频，然后夫妻两人之间的相处之类的恐惧就会多增一分,真/恐婚/恐育/恐/男人/不能/没有/期待/过有/遇到/喜欢/男生/喜欢/不/重要/毕竟/不/懂/喜欢/喜不喜欢/不/重要/必须/喜欢/期待/害怕/相处/不/知道/交流/每次/抖音/刷/生/孩子/结婚/视频/夫妻/两人/之间/相处/恐惧/就会/多增/一分,1,1,1
199,我觉得女生多多少少都会有点恐男吧，特别是一堆男人向你走过来的时候，所以我就是有点恐男怎么了！？#恐男#,女生/多多少少/恐男/特别/男人/走/过来/恐男/恐,1,1,1
200,#目击者回应女子被男子拖进厕所#从唐山事件到前段时间#母女上楼被雨衣男子拖走#，现在又出现女子被“当众”拖进厕所的事件，接二连三的极端事件，让不少网友直呼又开始“恐男”了。幸亏女孩拼着劲儿跑出来求救，最后成功逃脱了。各位女孩们，不管在家还是在外，都一定要注意安全~#兔酱追热点#,目击者/回应/女子/男子/拖进/厕所/前段时间/上楼/雨衣男/子/拖走/出现/女子/当众/拖进/厕所/接二连三/极端/不少/网友/直呼/恐男/幸亏/女孩/拼/着劲儿/跑/求救/最后/成功/逃脱/女孩/在家/在外/注意安全/兔酱/追/热点,3,3,3
201,#晋江月逝水#我直接恐恋爱恐婚恐男谁来给我洗洗脑算了一直单着吧也挺好的,晋江/月/逝水/直接/恐/恋爱/恐婚/恐男/洗洗/脑/算了/一直/单着/挺,2,4,3
202,我不知道我怎么才能爱他们了当我被所有流媒体的厌男情绪给淹没之后感觉一切都不值了,不/知道/爱/流媒体/厌/情绪/淹没/不值,1,3,2
203,#Ella自曝出道后被性骚扰#恶心恶心恶心恶心又是恐男恐婚恐孕的一天,Ella/曝/出道/性骚扰/恶心/恶心/恶心/恶心/恐/恐婚/恐孕,4,4,4
204,感觉自己快得“厌男症”了一段越来越不美好的感情，可能会让人内心封闭吧,快得厌/男症/一段/越来越/不/美好/感情/内心/封闭,1,3,2
205,肯定有境外势力煽动，不然怎么每天一个恐婚恐育恐男小新闻,肯定/境外/势力/煽动/每天/恐婚/恐育/恐/新闻,1,1,1
206,#华东理工大学回应男生向12岁女孩要裸照#6每天一则恐婚恐育恐男小新闻,华东理工大学/回应/男生/12/岁/女孩/裸照/每天/恐婚/恐育/恐/新闻,2,2,2
207,每过几个月就会被新认识的人问一句：你是不是厌男？,每过/月/新/认识/问/一句/是不是/厌,1,2,1.5
208,我不会越来越恐男吧感觉朋友失恋了会加深我对谈恋爱的恐惧尤其是在我眼里平时都特别清醒的朋友失恋了结果走不出来更害怕了,不会/越来越/恐男/朋友/失恋/加深/谈恋爱/恐惧/眼里/平时/特别/清醒/朋友/失恋/走/不/更/害怕,2,1,1.5
209,#结婚前发现未婚夫是亿万富翁#一天一个恐男小技巧,结婚/前/发现/未婚夫/恐男小/技巧,1,3,2
210,每活一天，厌男程度都在加重。明明知道人和人不一样，但无差别扫射这个群体是绝对没有问题的，为什么为什么我要在这么恶心的世界生存。因为这些垃圾而滋生的暴力倾向反而使我更厌恶自己，心里又反复告诉自己不值得，可明明是不值得的垃圾却在反复的鼓动自身的负面情绪，对包括自己在内的所有人都厌恶至极，就算只是一时才会萌生的想法，也是我真实的情绪。人性真是卑劣啊！想成为最美好的自己真的不可能吧！我真实地希望有些人早下地狱。#只是在骂人而已##这年头骂人都要拐弯抹角#,每活/厌/程度/加重/明明/知道/不/无差别/扫射/群体/绝对/没有/问题/我要/恶心/世界/生存/垃圾/滋生/暴力/倾向/更/厌恶/心里/反复/告诉/不/值得/明明/不/值得/垃圾/反复/鼓动/负面/情绪/包括/在内/所有人/厌恶/至极/一时/萌生/想法/真实/情绪/人性/真是/卑劣/成为/美好/不/真实/希望/早下/地狱/骂人/这年头/骂人/拐弯抹角,4,2,3
211,我恐男所有男性离我远点真的很烦！！！没有情绪价值的人,我恐/男性/远点/很烦/没有/情绪/价值,2,4,3
212,看了jm事件真的恶心的睡不着每日一个厌男小技巧,jm/恶心/睡不着/每日/厌男小/技巧,4,3,3.5
213,我的首页现在每天都是男子杀妻、男子杀女友、男子不想给彩礼钱杀害怀孕8月的女友等让人不寒而栗的新闻。关注社会新闻，每天一个恐男小技巧。,首页/每天/男子/杀妻/男子/杀/女友/男子/不想/彩礼/钱/杀害/怀孕/月/女友/不寒而栗/新闻/关注/新闻/每天/恐男小/技巧,2,3,2.5
214,小幺最近好黏我但又莫名其妙不给她哥碰伸手就哈人幺子是不是像我一样呀厌男,幺/最近/黏/莫名其妙/不/哥/碰/伸手/哈人幺子/是不是/厌,1,1,1
215,2019-05-06我现在极端厌恶擦亮双眼看清男人这种鬼话，男人这东西，谁他妈都看不透，我妈看透我弟弟了吗?她生的，她都看不透，她直到最后不明白我弟弟为什么那么恨她。亲生的，你都看不透，你他妈还看透后天认识的男人呢。我现在进入厌男佛系，我告诉你们实话吧，我都理解不了以前的我怎么跟那么多男人谈恋爱，我竟然还结两次婚，简直不要命啊，冒着生命危险，图什么呢?图个jb有屁用。我现在认为，随着科学技术医学进步，女性生育哈，就精子库购买，直接淘汰完事儿，科技比肉搏可先进多了。唉，我年轻时虽然也有试管婴儿，但精子库概念还没那么普及，咔咔生了俩孩子，用现代眼光一看，其实也挺后怕的。我觉得未来社会关于生育的观念，肯定将有个质的变化，那就是，女性去精子库挑选，社会为女性提供保障，家庭为女儿提供后盾，至于男性么，认清自己只是被选择的一方，有女人选择你为她的后代提供亲缘关系，你得感激涕零，为儿童提供高质陪伴竞争上岗，至于这个女人的后代，是不是你的后代，问都不要问，压根儿不是你操心的问题。这种观念上的转变，我已经在德国看到苗头了，到我女儿这一代，争取能实现吧。,20190506/极端/厌恶/擦亮/双眼/看清/男人/这种/鬼话/男人/东西/谁他妈/看不透/我妈/看透/弟弟/生/看不透/最后/不/明白/弟弟/恨/亲生/看不透/妈/看透/后天/认识/男人/进入/厌/男佛系/告诉/实话/理解/不了/以前/男人/谈恋爱/竟然/还结/两次/婚/简直/不要命/生命危险/图/图个/jb/屁用/认为/科学技术/医学/进步/女性/生育/精子库/购买/直接/淘汰/完/事儿/科技/肉搏/先进/年轻/时/试管婴儿/精子库/概念/没/普及/咔/咔生/俩/孩子/现代/眼光/一看/挺/后怕/未来/生育/观念/肯定/个质/变化/女性/精子库/挑选/女性/提供/保障/家庭/女儿/提供/后盾/男性/认清/选择/一方/女人/选择/后代/提供/亲缘/关系/感激涕零/儿童/提供/高质/陪伴/竞争上岗/女人/后代/是不是/后代/问/不要/问/压根儿/操心/问题/这种/观念/转变/德国/看到/苗头/女儿/一代/争取/实现,2,2,2
216,#嘟嘟酱童年被继父差点性侵#真的，再这样下去我恐男了,嘟嘟/酱/童年/继父/差点/性侵/下去/我恐,1,2,1.5
217,男的恶心恶心恶心恶心恶心恶心恶心恶心恶心恶心我要恐男了,恶心/恶心/恶心/恶心/恶心/恶心/恶心/恶心/恶心/恶心/我要/恐,4,4,4
218,#晋江月逝水#吐了，日常恐男，多给我爸妈亲戚看看，免得以后催我谈恋爱催我结婚,晋江/月/逝水/吐/日常/恐男多/爸妈/亲戚/看看/免得/以后/催/谈恋爱/催/结婚,3,4,3.5
219,问的太彻底不好，太八卦了不好，让人恐惧厌烦，是的快得恐男症,问/太/彻底/不好/太/八卦/不好/恐惧/厌烦/快/恐/男症,1,2,1.5
220,#女子称怀孕7月被男友打致先兆流产#每日恐男1/1,女子/称/怀孕/月/男友/打致/先兆/流产/每日/恐男/11,2,3,2.5
221,谁懂啊…越来越讨厌生活中遇到的男的我感觉我真的厌男了,懂/越来越/讨厌/生活/中/遇到/厌,2,3,2.5
222,强行整肃好玩吗我真的狠狠厌男了要是他是个男的早从我世界消失了男的有什么好无语,强行/整肃/好玩/狠狠/厌/早/世界/消失/无语,3,4,3.5
223,#男子为找到女友报假警抓对方#今日恐男get,男子/找到/女友/报假警/抓/今日/恐男/get,1,3,2
224,?决定今天开始不看热搜了，阴间新闻太多快恐男恐婚了,决定/今天/不看/热/搜/阴间/新闻/太多快/恐/恐婚,1,2,1.5
225,真情实感的恐男了九年义务教育怎么能教出这种玩意来，可能没读过书吧真的无语,真情实感/恐/九年/义务教育/教出/这种/玩意/没读/书吧/无语,2,2,2
226,#杀妻欲藏尸冰柜男子被判死刑#恐婚，恐孕，恐男,杀妻/欲/藏/尸/冰柜/男子/被判/死刑/恐婚/恐孕恐,2,4,3
227,#13岁女孩遭69岁男子性侵怀孕#才9年吗？？？每次看到这种心里第一反应越来越恐男（我知道有些男生还行但是有些就...）,13/岁/女孩/遭/69/岁/男子/性侵/怀孕/年/每次/看到/这种/心里/第一/反应/越来越/恐男/知道/男生/还行,2,2,2
228,如果我真的是那种厌男的纯异性恋那太恐怖了我这辈子谈不了恋爱了啊？,厌/纯/异性恋/那太/恐怖/这辈子/谈/不了/恋爱,1,2,1.5
229,#社恐行为图鉴#我是恐男～（没有说男生不好的意思，是我自己的原因）,社恐/行为/图鉴/恐/没有/男生/不好/意思/原因,2,1,1.5
230,越吃瓜越恶心?????????搞得越来越厌男了,越/吃/瓜越/恶心/搞/越来越/厌,2,2,2
231,婚姻和工作让我厌男，社会新闻让我恐男，人生路漫漫，气不活了,婚姻/工作/厌/新闻/恐/男人/生路/漫漫/气不活,2,2,2
232,我他吗真是越来越恐男了我真是越来越讨厌这个社会对女孩子的偏见“为什么别人就强暴你猥亵你就不猥亵别人是不是因为你穿的太暴露了”“为什么人家偏偏就选中了你是不是你太骚了”“为什么你会这么轻易地就上别人当，真是没脑子没判断力”？我以后结婚了真的千万别生女孩了，我怕我让她在爱里面长大以为世界就是这么美好我怕她遇到什么事后不敢大声讲出来我怕她已经受到一些很不好的事情后还要被人骂是太傻白甜了太相信别人了我又怕我没给她足够的爱足够的保护让她以为妈妈不爱她我又怕让她过早接触世界过早见到到世界的肮脏。生而为女我很抱歉,真是/越来越/恐男/真是/越来越/讨厌/女孩子/偏见/强暴/猥亵/不/猥亵/是不是/穿/太/暴露/偏偏/选中/是不是/太骚/轻易/当真/没脑子/没/判断力/以后/结婚/千万别/生/女孩/怕/爱/里面/长大/世界/美好/我怕/遇到/事后/不敢/大声/讲/我怕/不好/事情/骂/太/傻/白甜/太/相信/怕/没/足够/爱/足够/保护/妈妈/不爱/怕/过早/接触/世界/过早/见到/世界/肮脏/生而为/女/抱歉,2,2,2
233,#河南遇害女孩父母亲发声#每天一个恐男小故事,河南/遇害/女孩/父母亲/发声/每天/恐男小/故事,2,3,2.5
234,每日恐男超话每日恐男打卡，救命?我朋友被男人渣了，现在还在和我哭诉，男的都是人渣,每日/恐男/每日/恐男/打卡/救命/朋友/男人/渣/哭诉/人渣,1,1,1
235,努力克服自己厌男的心理听到声音都会想吐?还有上完厕所不洗手的男的能不能滚远点啊尼玛的还到处碰一碰,努力/克服/厌/心理/听到/声音/吐/完/厕所/不/洗手/不能/远点/尼玛/到处/碰一/碰,4,4,4
236,从这个梦都能看出来我有多恐男了，犯罪者都是男性，把我带走的是女警察...,梦/恐/犯罪者/男性/带走/女警察,2,4,3
237,#张语格被工作人员强行握手#又是恐男的一天,张语格/工作人员/强行/握手/恐,2,3,2.5
238,#男子因吵架拿啤酒瓶刺死女友#每天都在恐男,男子/吵架/啤酒瓶/刺死/女友/每天/恐,2,3,2.5
239,#90后00后为什么越来越拒绝生孩子#恐男??别管爱生男的自己去生,90/00/越来越/拒绝/生/孩子/恐男/爱生/去生,2,3,2.5
240,#将母女拖拽进屋的雨衣男已被拘留#谢谢了，不止恐婚了，恐男了已经,拖拽/进屋/雨衣男/拘留/不止/恐婚/恐,2,3,2.5
241,不止一个朋友说搞不清楚我的性取向感觉我跟女生在一起的可能性比男生大是我表现的太厌男还是太喜欢看美女了啊,不止/朋友/搞不清楚/性取向/女生/一起/可能性/男生/大是/表现/太厌/太/喜欢/美女,2,3,2.5
242,看完《告白夫妇》这部剧更恐男恐恋恐婚恐育了……,看完/告白/夫妇/剧/更/恐/恐恋/恐婚/恐育,2,4,3
243,因为恐男所以要找一个男的保护我是不是有病啊,恐男/找/保护/是不是/有病,1,1,1
244,每天一个厌男小技巧不够了是吧热搜直接挂两个,每天/厌男小/技巧/不够/热/搜/直接/挂,2,1,1.5
245,#单身人设#不是说不能谈恋爱，而是你明明谈了恋爱或是结了婚甚至还有孩子，还营销自己单身，单纯，恐男，恐女………就特么恶心-_-||,单身/人设/不能/谈恋爱/明明/谈/恋爱/结了婚/孩子/营销/单身/单纯/恐男恐/女/特/恶心,4,3,3.5
246,每天一个恐男小技巧，没想到男生也能这么小家子气,每天/恐男小/技巧/没想到/男生/小家子气,2,3,2.5
247,#送别杭州2名牺牲消防员#恐男的那批混蛋呢，搞性别对立的那批混蛋呢，怎么不说话了，还知道要脸啊,送别/杭州/名/牺牲/消防员/恐男/那批/混蛋/搞/性别对立/那批/混蛋/不/说话/知道/要脸,1,1,1
248,太可怕了我感觉自己恐男已经变成生理上的了?,太/可怕/恐男/变成/生理,4,4,4
249,#上外男生所投系牛磺酸泡腾片#哈哈哈哈哈哈…可真是精彩前脚女孩一群人坐烧烤店吃饭被性骚扰被打后脚就是高素质大学生在图书馆给不认识女学生下药我感觉自己都要瞎了是人是狗都让人看不清现在已经不仅仅是恐婚了…开始恐男了（你觉得你是一个好男人那你就是别和我杠我害怕）,男生/投系/牛磺酸泡腾片/真是/精彩/前脚/女孩/一群/坐/吃饭/性骚扰/后脚/高素质/大学生/图书馆/不/认识/女/学生/下药/瞎/狗/看不清/不仅仅/恐婚/恐男/男人/杠/害怕,3,3,3
250,weibo：每天一个厌男小技巧每天x个???大塌方,weibo/每天/厌男小/技巧/每天/x/塌方,1,2,1.5
251,90和00后女生恐婚恐育恐男怎么来的被逼的??,90/00/女生/恐婚/恐育/恐/逼,1,1,1
252,都说不太喜欢男的了还要怎样，今日恐男（1/1）,不/太/喜欢/今日/恐男/11,2,2,2
253,#严惩唐山烧烤店打人事件狂徒#恐男了真恶心,严惩/唐山烧烤店/打人/狂徒/恐男/真/恶心,2,3,2.5
254,每次看到我爷爷奶奶吵架我又恐婚恐男感上升了哈哈。毁灭吧,每次/看到/爷爷奶奶/吵架/恐婚/恐男感/上升/毁灭,2,4,3
255,#结婚前发现未婚夫是亿万富翁#谢谢已经yue了每天一个恐男小故事?,结婚/前/发现/未婚夫/每天/恐男小/故事,1,3,2
256,#温岭时代广场#原来女的还和古代一样做什么都是错嗯做核酸也是错被杀了都是错现代社会了为什么这么多somebody对受害者指指点点你配么给你好意思的还有警方我300度近视我都看得出来不是捅伤这事件干脆叫《温岭受害者有罪论》呗真的666现在不爱结婚的女生肯定有恐男恐婚的就是这么一堆社会败类带来的影响真的能不能制裁一下就一下,温岭/时代广场/原来/女/古代/做/错/做/错/杀/错/现代/somebody/受害者/指指点点/你配/好意思/300/度/近视/看得出来/捅/伤/干脆/温岭/受害者/有罪/666/不爱/结婚/女生/肯定/有恐/恐婚/败类/带来/影响/不能/制裁,3,3,3
257,看完大连，南京，以及蹲下拍女星的代拍普男……我真是……一天一个恐男小技巧,看完/大连/南京/蹲下/拍/女星/代拍/普男/真是/恐男小/技巧,3,3,3
258,为什么这个世界上会有这么恶心的人今天就不该出门厌男又又又加重了,世界/上会/恶心/今天/不该/出门/厌/加重,4,4,4
259,#遭男伴下药女子回应检方存疑不捕#太好了以后法律也不会保护女性的以后就是出门是个人你就得防着出了事就只能是活该倒霉了呗。保护畜生也不保护女性呗。每天一个厌男小技巧,遭/男伴/下药/女子/回应/检方/存疑/不捕/太好了/以后/法律/不会/保护/女性/以后/出门/个人/防着/出/了事/只能/活该/倒霉/保护/畜生/不/保护/女性/每天/厌男小/技巧,5,4,4.5
260,#青你2杜紫怡曝tangoz性骚扰#她不是有女朋友吗……………每日一恐男,青/杜紫怡/曝/tangoz/性骚扰/女朋友/每日/一恐,1,3,2
261,破车才需要备胎，我是不屑要啥备胎的，自己不喜欢的人喜欢自己只是累赘暂时没兴趣聊，感觉恐恋晚期了，还有厌男，情啊爱的想想就烦,破车/需要/备胎/不屑/备胎/不/喜欢/喜欢/累赘/暂时/没/兴趣/聊/恐恋/晚期/厌男情/爱/想想/烦,2,1,1.5
262,#电梯内男子两次猥亵13岁女孩被刑拘#艹，所以我选择性厌男,电梯/男子/两次/猥亵/13/岁/女孩/刑拘/艹/选择性/厌,1,3,2
263,越接触男的越觉得恶心厌男这辈子都不会好的了,越/接触/越/恶心/厌/这辈子/不会,2,4,3
264,他们一家人来的时候每次都是我厌男情绪最高最想殺人的时候,一家人/每次/厌/情绪/最高/最想/杀人,5,3,4
265,#男子在女友孕期出轨还想要回16万彩礼#恐男恐婚恐育,男子/女友/孕期/出轨/想要/回/16/万/彩礼/恐男/恐婚/恐育,3,3,3
266,大晚上给人气的睡不着觉，身边的同事竟然说西安地铁事件双方应该各打五十大板，保安和女生双方都有责任，保安的行为就是有点暴力，也是为了维护公共秩序。请问保安有执法权嘛？难道保安这么做，就代表这个女生有错了？的确现场事情究竟是怎么回事，我们也只能通过几个视频略知一二，究竟这个女生和大爷发生口角是否有错，我们不能下结论。最近的阴间新闻太多了，厌男情绪已经爆表，事情已经发生了，难道不应该引以为戒，而是让我们别看别关注嘛？,人气/睡不着/觉/身边/同事/竟然/西安地铁/双方/应该/各打/五十/大板/保安/女生/双方/责任/保安/行为/暴力/维护/公共秩序/请问/保安/执法权/难道/保安/做/代表/女生/有错/现场/事情/究竟/怎么回事/只能/视频/略知一二/究竟/女生/大爷/发生/口角/是否/有错/不能/下结论/最近/阴间/新闻/太多/厌/情绪/爆表/事情/发生/难道/不/应该/引以为戒/看别/关注,2,2,2
